C_ID,T_ID,Text,Completion
0,0,###User : 제가 내년에 결혼을 하는데 살림은 미리 합치기로 해서 내일 신혼집으로 이사를 가게 됐어요.,###assistant: 결혼 미리 축하드려요. 그런데 집은 어디 쪽으로 구하신 거예요?
1,0,###User : 여의도에 있는 아파트로 가요. 제가 지금 살고 있는 집은 의정부인데 예비 신부가 다니는 직장이 여의도라서 거기로 가게 됐죠.,###assistant: 그러시군요. 저도 빨리 결혼하고 싶다는 생각이 드네요. 제가 남자친구랑 만난 지 벌써 6년이 됐거든요.
2,0,###User : 정말 오래 만나셨네요? 결혼 이야기가 오고 가는 중인가요?,###assistant: 아직이요. 제가 28살인데 남자친구도 저랑 동갑이거든요? 그런데 저희 둘 다 직장에 다닌 지 1년밖에 안 돼서 모아둔 돈이 없거든요.
3,0,###User : 결혼은 현실적으로 생각할 수밖에 없죠. 사실 저도 30대가 되고 나서 돈을 본격적으로 모았거든요. 그래서 36살인 지금 결혼 자금을 다 모을 수 있었죠.,###assistant: 저도 열심히 저금을 해야겠어요. 그런데 미리 신혼집에 들어가게 되면 두 분이 같이 보내는 시간이 많아지겠네요?
4,0,###User : 그럴 것 같아요. 앞으로 데이트하는 시간도 늘어날 것 같아서 좋아요. 제 취미가 농구라서 이번 주말에는 아파트 농구장에서 같이 농구하면서 시간을 보내기로 했거든요.,###assistant: 정말 부럽네요. 저도 남자친구를 자주 만나서 놀고 싶은데 여건 상 그러지 못하고 있거든요.
5,0,###User : 두 분이 자주 만나지 못하는 이유가 있나요?,###assistant: 저희가 장거리 연애 중이라서요. 남자친구가 저희 집에서 버스로 3시간 걸리는 거리에 살고 있거든요.
6,0,###User : 장거리라니 정말 힘드실 것 같네요. 처음 만났을 때부터 장거리 연애를 하신 거예요?,"###assistant: 아니요, 남자친구 직장 문제로 멀어지게 됐어요. 그런데 버스보다는 차를 타고 다니는 게 효율적일 것 같아서 제가 한 달 전부터 면허 학원에서 운전을 배우고 있어요."
7,0,###User : 차만 있다면 그게 더 편하실 수 있겠네요. 장거리 연애를 하면 자주 못 봐서 만날 때마다 더 애틋해지실 것 같아요.,###assistant: 마치 연애 초반으로 돌아간 느낌도 들어요. 이번 주말에 데이트를 하는데 제가 십자수 만드는 걸 좋아해서 남자친구랑 같이 십자수 매장에 가기로 했어요. 얼른 남자친구랑 놀고 싶어요.
8,0,###User : 보기 좋은 커플이네요. 예쁘게 잘 만나서 나중에 좋은 결실 맺으실 수 있도록 응원할게요.,###assistant: 좋은 말씀 감사해요. 저도 결혼에 골인할 수 있도록 노력해 볼게요.
9,0,###User : 남자친구랑 잘 상의해 보아요,"###assistant: 네, 남자친구와 상의해 볼께요"
10,0,###User : 남자친구와 함께 할 수 있는 활동을 찾아보시는 건 어떨까요?,###assistant: 좋은 생각이에요! 남자친구와 함께 할 수 있는 활동을 찾아봐야겠어요.
11,0,###User : 차만 있다면 그게 더 편하실 수 있겠네요. 장거리 연애를 하면 자주 못 봐서 만날 때마다 더 애틋해지실 것 같아요.,"###assistant: 네, 맞아요. 그래서 서로 영상 통화나 전화를 자주 하긴 하지만 직접 얼굴 보고 만나는 게 더 좋더라고요. 물론 차로 이동하면 시간도 절약되고 체력적으로도 덜 힘들겠죠. 하지만 지금은 차가 없어서 대중교통을 이용하고 있어요. 그래도 주말마다 만나서 데이트하면서 서로의 일상을 공유하고 있답니다."
12,0,###User : 면허 따신 거 축하드려요! 이제 남자친구분이랑 더 자주 만날 수 있겠네요.,###assistant: 감사합니다! 이제 남자친구랑 더 자주 만날 수 있을 것 같아요. 하지만 운전은 항상 조심해야 한다는 것을 잊지 않을게요.
13,0,"###User : 네, 맞아요. 하지만 그만큼 서로에게 맞춰가는 과정이기 때문에 갈등도 많이 생길 것 같아요. 그래도 잘 극복해 나가야겠죠.",###assistant: 그렇죠. 서로 다른 환경에서 자란 두 사람이 함께 생활하는 것이기 때문에 갈등은 자연스러운 일이에요. 하지만 이를 어떻게 해결하느냐가 중요하죠. 혹시 결혼 준비하면서 어려운 점이나 궁금한 점이 있으면 언제든지 저에게 말씀해 주세요. 제가 도움을 드릴 수 있는 부분이 있다면 최선을 다해 도와드릴게요.
